subID,trial,sim_choice,sim_attack,k
5,85,6,0,1
5,118,7,1,1
5,119,5,1,1
5,39,8,0,1
5,84,6,0,1
5,77,7,1,1
5,7,6,0,1
5,25,9,1,1
5,95,8,0,1
5,108,6,1,1
5,71,5,0,1
5,66,7,0,1
5,76,7,1,1
5,103,8,1,1
5,34,8,0,1
5,59,7,1,1
5,50,6,1,1
5,93,6,1,1
5,2,4,1,1
5,27,9,0,1
5,10,7,1,1
5,26,6,0,1
5,18,8,1,1
5,42,7,0,1
5,87,7,0,1
5,116,2,0,1
5,100,5,0,1
5,79,8,1,1
5,16,8,1,1
5,81,8,0,1
5,20,8,1,1
5,19,8,0,1
5,49,5,0,1
5,44,6,1,1
5,9,7,0,1
5,31,6,0,1
5,74,7,1,1
5,106,7,0,1
5,109,7,1,1
5,61,7,1,1
5,29,8,0,1
5,94,8,0,1
5,107,6,0,1
5,46,8,1,1
5,57,8,1,1
5,102,7,1,1
5,70,6,0,1
5,21,8,1,1
5,38,9,1,1
5,88,6,0,1
5,120,8,0,1
5,101,5,0,1
5,78,8,1,1
5,105,8,0,1
5,72,8,0,1
5,24,6,0,1
5,8,8,0,1
5,17,9,1,1
5,37,9,1,1
5,1,5,0,1
5,53,8,0,1
5,22,5,1,1
5,47,9,0,1
5,83,5,0,1
5,99,8,1,1
5,89,8,1,1
5,14,9,0,1
5,3,6,0,1
5,80,5,0,1
5,96,9,1,1
5,51,8,0,1
5,33,8,0,1
5,40,9,0,1
5,48,7,0,1
5,113,8,0,1
5,15,6,0,1
5,65,7,0,1
5,97,8,0,1
12,5,9,1,1
12,56,5,1,1
12,114,8,0,1
12,35,5,1,1
12,55,7,0,1
12,110,6,0,1
12,60,5,1,1
12,30,6,0,1
12,32,6,1,1
12,6,5,1,1
12,117,6,0,1
12,45,6,0,1
12,67,7,0,1
12,73,8,1,1
12,115,5,0,1
12,112,6,1,1
12,64,7,0,1
12,90,5,1,1
12,4,6,1,1
12,13,7,1,1
12,63,5,0,1
12,86,8,1,1
12,54,5,0,1
12,104,6,0,1
12,91,3,0,1
12,62,5,0,1
12,58,8,1,1
12,52,3,0,1
12,12,6,1,1
12,28,5,0,1
12,75,7,1,1
