subID,trial,sim_choice,sim_attack,k
5,72,7,0,1
5,24,8,1,1
5,8,7,0,1
5,17,6,1,1
5,37,7,0,1
5,1,5,0,1
5,53,9,1,1
5,22,7,1,1
5,47,7,0,1
5,83,6,1,1
5,99,6,1,1
5,89,4,0,1
5,14,6,0,1
5,3,7,0,1
5,80,7,1,1
5,96,7,1,1
5,51,7,0,1
5,33,7,1,1
5,40,1,0,1
5,48,7,0,1
5,113,7,0,1
5,15,7,0,1
5,65,8,0,1
5,97,7,1,1
12,5,9,1,1
12,56,7,0,1
12,114,7,0,1
12,35,7,1,1
12,55,7,0,1
12,110,7,0,1
12,60,9,1,1
12,30,7,0,1
12,32,8,0,1
12,6,6,0,1
12,117,8,1,1
12,45,7,0,1
12,67,6,0,1
12,73,7,0,1
12,115,7,0,1
12,112,7,0,1
12,64,8,1,1
12,90,7,1,1
12,4,5,0,1
12,13,6,1,1
12,63,8,1,1
12,86,7,1,1
12,54,6,0,1
12,104,7,1,1
12,91,7,1,1
12,62,7,1,1
12,58,7,1,1
12,52,6,1,1
12,12,8,0,1
12,28,8,1,1
12,75,6,1,1
12,111,4,0,1
12,23,7,1,1
12,92,6,1,1
12,41,5,0,1
12,43,5,1,1
12,69,8,0,1
12,36,8,0,1
12,11,6,1,1
12,68,7,1,1
12,98,7,0,1
12,82,7,0,1
12,85,8,1,1
12,118,8,1,1
12,119,7,1,1
12,84,8,0,1
12,39,7,1,1
12,77,1,0,1
12,7,7,0,1
12,25,7,1,1
12,95,7,0,1
12,108,8,0,1
12,71,8,1,1
12,66,8,1,1
12,76,6,1,1
12,103,7,0,1
12,93,7,0,1
12,34,6,1,1
12,50,7,0,1
12,59,7,0,1
12,2,7,0,1
12,27,8,0,1
12,18,7,0,1
12,10,7,0,1
12,26,7,0,1
12,42,7,1,1
12,87,7,1,1
12,116,8,0,1
12,100,7,0,1
12,79,8,1,1
12,16,3,1,1
12,81,7,1,1
12,20,4,1,1
12,19,4,0,1
12,49,7,1,1
12,44,8,1,1
12,9,6,0,1
12,31,7,0,1
12,74,7,1,1
12,106,8,1,1
12,109,5,0,1
12,61,6,0,1
12,94,8,1,1
12,29,7,0,1
12,107,7,0,1
12,46,6,1,1
12,57,5,0,1
12,102,5,1,1
12,70,7,0,1
