,attack,attackProb,attackRange,choice,currProb,predatorType,reward,round,rt,totMoney,trial,subID
13778,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,8,2.971298933029175,86,8,154
13779,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,80,1.0873000621795654,758,80,154
13780,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,81,1.0041000843048096,774,81,154
13781,TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,82,2.022099733352661,764,82,154
13782,FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,83,1.4375,789,83,154
13783,TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,84,1.3708003759384155,779,84,154
13784,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,85,1.3863998651504517,795,85,154
13785,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,86,1.2375998497009275,811,86,154
13786,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,87,1.0541001558303833,827,87,154
13787,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,88,1.1380001306533811,843,88,154
13788,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,89,1.003999948501587,859,89,154
13789,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,9,3.305199623,102,9,154
13790,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,90,1.1037001609802246,875,90,154
13791,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,91,1.8270998001098635,891,91,154
13792,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,92,1.1872999668121338,907,92,154
13793,TRUE,4.800000190734863,7,4,0.3000000119209289,1,-10,93,2.5878994464874268,897,93,154
13794,TRUE,2.5999999046325684,7,5,0.2339999973773956,0,-10,94,2.2876996994018555,887,94,154
13795,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,95,1.1704000234603882,903,95,154
13796,TRUE,2.5999999046325684,7,4,0.1624999940395355,0,-10,96,1.3374998569488523,893,96,154
13797,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,97,1.738800048828125,909,97,154
13798,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,98,1.4043997526168823,925,98,154
13799,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,99,1.2522000074386597,941,99,154
13800,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,1,5.731999397277832,16,1,115
13801,FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,10,2.400999069213867,197,10,115
13802,FALSE,2.5999999046325684,7,9,0.6499999761581421,0,81,100,2.767998456954956,1315,100,115
13803,FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,101,2.3339993953704834,1324,101,115
13804,FALSE,4.800000190734863,7,2,0,1,4,102,4.886001110076904,1328,102,115
13805,TRUE,4.800000190734863,7,4,0.3000000119209289,1,-10,103,1.336999535560608,1318,103,115
13806,FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,104,1.398999810218811,1327,104,115
13807,FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,105,3.499998092651367,1336,105,115
13808,TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,106,1.6699994802474976,1326,106,115
13809,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,107,2.036999464035034,1316,107,115
13810,FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,108,2.537999153137207,1325,108,115
13811,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,109,1.365999698638916,1341,109,115
13812,FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,11,1.666999578475952,206,11,115
13813,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,110,2.300999402999878,1357,110,115
13814,FALSE,4.800000190734863,7,2,0,1,4,111,13.715012550354004,1361,111,115
13815,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,112,2.050999879837036,1351,112,115
13816,FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,113,5.881999492645264,1376,113,115
