,block,trial,room,subID,attack,selfBlame,jointMoney,partnerStep,playerStep,prediction,step_rt,predatorType,player_partner_diff,finalStep,playerID,confidence,partnerBlame,abs_pred_error,predator,outcome,abs_player_pred_diff,log_step_rt,partner_changed,partner_changed_rel,player_change,future_step_rt,player_change_rel
78,2,20,1,0,True,0.75,-20,4,5,5,1.584399938583374,0,1,5,0,70,0.75,1,safe,captured,0,0.46020574800229,0.0,0.0,0.0,1.5518999099731443,-0.0
79,2,20,1,1,True,0.75,-20,5,4,4,1.5498000383377075,0,-1,5,1,70,0.75,1,safe,captured,0,0.4381259150849092,0.0,-0.0,0.0,1.6669999361038208,0.0
82,2,21,1,0,False,0.75,50,4,5,4,1.5518999099731443,0,1,5,0,70,0.5,0,safe,harvest,1,0.4394799286847079,0.0,0.0,0.0,1.3849003314971924,-0.0
83,2,21,1,1,False,0.5,50,5,4,5,1.6669999361038208,0,-1,5,1,70,0.75,0,safe,harvest,1,0.5110255654386147,0.0,-0.0,0.0,4.516199111938477,0.0
86,2,22,1,0,False,0.75,50,4,5,4,1.3849003314971924,0,1,5,0,70,0.5,0,safe,harvest,1,0.3256281742319424,0.0,0.0,0.0,1.5009998083114624,-0.0
87,2,22,1,1,False,0.5,50,5,4,4,4.516199111938477,0,-1,5,1,70,0.75,1,safe,harvest,0,1.5076707356472805,0.0,-0.0,0.0,2.2667994499206543,0.0
90,2,23,1,0,False,0.75,50,4,5,4,1.5009998083114624,0,1,5,0,70,0.5,0,safe,harvest,1,0.4061314249440965,0.0,0.0,0.0,1.3678001165390017,-0.0
91,2,23,1,1,False,0.5,50,5,4,5,2.2667994499206543,0,-1,5,1,70,0.75,0,safe,harvest,1,0.818368902645508,0.0,-0.0,0.0,5.866796970367432,0.0
94,2,24,1,0,False,0.75,50,4,5,4,1.3678001165390017,0,1,5,0,70,0.5,0,safe,harvest,1,0.3132036948836401,0.0,0.0,0.0,1.1841000318527222,-0.0
95,2,24,1,1,False,0.5,50,5,4,5,5.866796970367432,0,-1,5,1,70,0.75,0,safe,harvest,1,1.769308823987424,0.0,-0.0,1.0,1.6170004606246948,1.0
98,2,25,1,0,False,0.75,50,5,5,4,1.1841000318527222,0,0,5,0,70,0.5,1,safe,harvest,1,0.16898301925513867,1.0,1.0,0.0,1.334400296211243,-0.0
99,2,25,1,1,False,0.5,50,5,5,5,1.6170004606246948,0,0,5,1,70,0.75,0,safe,harvest,0,0.48057286545868605,0.0,-0.0,-1.0,1.8504998683929443,0.0
102,2,26,1,0,False,0.75,50,4,5,4,1.334400296211243,0,1,5,0,70,0.5,0,safe,harvest,1,0.2884819746031681,-1.0,-0.0,0.0,1.3339999914169312,-0.0
103,2,26,1,1,False,0.5,50,5,4,5,1.8504998683929443,0,-1,5,1,70,0.75,0,safe,harvest,1,0.6154558017243437,0.0,0.0,-1.0,4.749898433685303,-1.0
106,2,27,1,0,False,0.5,32,3,5,4,1.3339999914169312,0,2,4,0,70,-1.0,1,safe,harvest,1,0.28818194105934736,-1.0,-1.0,0.0,1.1856998205184937,-0.0
107,2,27,1,1,False,-1.0,32,5,3,5,4.749898433685303,0,-2,4,1,70,0.5,0,safe,harvest,2,1.558123235435902,0.0,-0.0,2.0,2.333400249481201,2.0
110,2,28,1,0,False,0.5,50,5,5,3,1.1856998205184937,0,0,5,0,70,0.5,2,safe,harvest,2,0.17033316611010746,2.0,2.0,0.0,1.367799997329712,-0.0
111,2,28,1,1,False,0.5,50,5,5,5,2.333400249481201,0,0,5,1,70,0.5,0,safe,harvest,0,0.8473265383250739,0.0,-0.0,-1.0,2.5341997146606445,0.0
114,2,29,1,0,False,0.75,50,4,5,4,1.367799997329712,0,1,5,0,70,0.5,0,safe,harvest,1,0.3132036077296082,-1.0,-0.0,0.0,1.3009999990463257,-0.0
115,2,29,1,1,False,0.5,50,5,4,5,2.5341997146606445,0,-1,5,1,70,0.75,0,safe,harvest,1,0.9298778927872279,0.0,0.0,0.0,6.1344990730285645,0.0
120,1,1,2,2,True,0.5,-20,5,6,6,1.893494963645935,0,1,6,0,80,-1.0,1,safe,captured,0,0.6384243085441524,,,-1.0,1.997894287109375,1.0
121,1,1,2,3,True,-1.0,-20,6,5,5,4.890900135040283,0,-1,6,1,70,0.5,1,safe,captured,0,1.587376363242099,,,1.0,4.541296482086182,1.0
124,1,2,2,2,False,0.5,72,6,5,5,1.997894287109375,0,-1,6,0,80,0.75,1,safe,harvest,0,0.6920937694719453,1.0,1.0,0.0,3.003201723098755,0.0
125,1,2,2,3,False,0.75,72,5,6,5,4.541296482086182,0,1,6,1,70,0.5,0,safe,harvest,1,1.5132125400277143,-1.0,1.0,1.0,3.349698781967163,-1.0
128,1,3,2,2,False,0.5,72,7,5,5,3.003201723098755,0,-2,6,0,80,0.75,2,safe,harvest,0,1.09967896060419,1.0,-1.0,0.0,2.6526987552642822,0.0
129,1,3,2,3,False,0.75,72,5,7,6,3.349698781967163,0,2,6,1,70,0.5,1,safe,harvest,1,1.208870425963607,0.0,0.0,0.0,3.041200399398804,-0.0
132,1,4,2,2,False,0.25,72,7,5,6,2.6526987552642822,0,-2,6,0,80,0.75,1,safe,harvest,1,0.9755775199954109,0.0,-0.0,1.0,5.092697620391846,1.0
133,1,4,2,3,False,0.75,72,5,7,7,3.041200399398804,0,2,6,1,70,0.25,2,safe,harvest,0,1.112252305701481,0.0,0.0,0.0,3.124300718307495,-0.0
136,1,5,2,2,False,0.5,98,7,6,7,5.092697620391846,0,-1,7,0,80,1.0,0,safe,harvest,1,1.6278076745302132,0.0,-0.0,-1.0,2.3815979957580566,-1.0
137,1,5,2,3,False,1.0,98,6,7,5,3.124300718307495,0,1,7,1,70,0.5,1,safe,harvest,2,1.1392104880064895,1.0,1.0,2.0,7.091200351715088,-2.0
140,1,6,2,2,False,0.25,98,9,5,8,2.3815979957580566,0,-4,7,0,80,1.0,1,safe,harvest,3,0.8677716891663616,2.0,-2.0,1.0,2.3899970054626465,1.0
141,1,6,2,3,False,1.0,98,5,9,5,7.091200351715088,0,4,7,1,70,0.25,0,safe,harvest,4,1.9588546282895278,-1.0,-1.0,0.0,3.766800404,-0.0
144,1,7,2,2,False,0.25,128,9,6,8,2.3899970054626465,0,-3,8,0,80,1.0,1,safe,harvest,2,0.871292112998135,0.0,-0.0,3.0,3.3451058864593506,3.0
145,1,7,2,3,False,1.0,128,6,9,5,3.766800404,0,3,8,1,70,0.25,1,safe,harvest,4,1.326225941906606,1.0,1.0,0.0,4.274497985839844,-0.0
148,1,8,2,2,False,0.5,162,9,9,9,3.3451058864593506,0,0,9,0,80,0.5,0,safe,harvest,0,1.2074983482239767,0.0,-0.0,0.0,2.782001495361328,-0.0
149,1,8,2,3,False,0.5,162,9,9,5,4.274497985839844,0,0,9,1,70,0.5,4,safe,harvest,4,1.4526666652803542,3.0,3.0,0.0,5.258299350738525,-0.0
152,1,9,2,2,False,0.5,162,9,9,9,2.782001495361328,0,0,9,0,80,0.5,0,safe,harvest,0,1.023170631014165,0.0,0.0,0.0,3.428507328033448,-0.0
153,1,9,2,3,False,0.5,162,9,9,7,5.258299350738525,0,0,9,1,70,0.5,2,safe,harvest,2,1.6598076571212053,0.0,0.0,0.0,3.691197156906128,-0.0
156,1,10,2,2,False,0.5,162,9,9,9,3.428507328033448,0,0,9,0,80,0.5,0,safe,harvest,0,1.232124985127616,0.0,0.0,0.0,3.069802761077881,-0.0
157,1,10,2,3,False,0.5,162,9,9,9,3.691197156906128,0,0,9,1,70,0.5,0,safe,harvest,0,1.3059508382013945,0.0,0.0,0.0,4.607698917388916,-0.0
160,1,11,2,2,True,0.5,-20,9,9,9,3.069802761077881,0,0,9,0,80,0.5,0,safe,captured,0,1.1216133123292638,0.0,0.0,-1.0,3.069601535797119,0.0
161,1,11,2,3,True,0.5,-20,9,9,9,4.607698917388916,0,0,9,1,70,0.5,0,safe,captured,0,1.5277285821505895,0.0,0.0,-5.0,3.1242997646331787,0.0
164,1,12,2,2,True,1.0,-20,4,8,8,3.069601535797119,0,4,6,0,80,0.25,4,safe,captured,0,1.1215477602753172,-5.0,-0.0,-3.0,1.9978944063186648,3.0
165,1,12,2,3,True,0.25,-20,8,4,7,3.1242997646331787,0,-4,6,1,70,1.0,1,safe,captured,3,1.139210182762357,-1.0,-0.0,3.0,2.8910000324249268,3.0
168,1,13,2,2,False,0.5,72,7,5,5,1.9978944063186648,0,-2,6,0,80,0.75,2,safe,harvest,0,0.6920938291394098,3.0,3.0,1.0,2.006194591522217,1.0
169,1,13,2,3,False,0.75,72,5,7,5,2.8910000324249268,0,2,6,1,70,0.5,0,safe,harvest,2,1.0616024742500259,-3.0,3.0,0.0,3.149099349975586,-0.0
172,1,14,2,2,False,0.25,98,7,6,7,2.006194591522217,0,-1,7,0,80,0.75,0,safe,harvest,1,0.6962396895819554,0.0,-0.0,1.0,2.1063947677612305,1.0
