attack,attackProb,attackRange,choice,currProb,predatorType,reward,round,rt,totMoney,trial,subID
FALSE,4.800000190734863,7,1,0,1,1,51,1.3528001308441162,668,51,27
FALSE,4.800000190734863,7,2,0,1,4,52,1.4363999366760254,672,52,27
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,53,2.670799493789673,688,53,27
FALSE,4.800000190734863,7,1,0,1,1,54,1.753400206565857,689,54,27
FALSE,4.800000190734863,7,1,0,1,1,55,1.636100172996521,690,55,27
FALSE,2.5999999046325684,7,8,0.5264999270439148,0,64,56,2.7693002223968506,754,56,27
FALSE,4.800000190734863,7,1,0,1,1,57,0.9193001985549928,755,57,27
FALSE,4.800000190734863,7,1,0,1,1,58,1.0535999536514282,756,58,27
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,59,1.9696999788284304,781,59,27
FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,6,1.903399944,80,6,27
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,60,1.9538003206253047,0,60,27
FALSE,4.800000190734863,7,1,0,1,1,61,1.703300118,1,61,27
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,62,2.203699111938477,26,62,27
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,63,1.936100006103516,42,63,27
FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,64,2.8704986572265625,78,64,27
FALSE,4.800000190734863,7,1,0,1,1,65,0.8695000410079956,79,65,27
FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,66,3.335998773574829,115,66,27
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,67,4.185999393463135,140,67,27
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,68,5.019599437713623,156,68,27
FALSE,4.800000190734863,7,1,0,1,1,69,0.953499973,157,69,27
TRUE,4.800000190734863,7,8,0.9719999432563782,1,-10,7,5.086198329925537,70,7,27
TRUE,2.5999999046325684,7,5,0.2339999973773956,0,-10,70,3.2527999877929688,147,70,27
FALSE,4.800000190734863,7,2,0,1,4,71,1.7035001516342163,151,71,27
FALSE,4.800000190734863,7,1,0,1,1,72,2.934699296951294,152,72,27
FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,73,2.9200990200042725,201,73,27
FALSE,4.800000190734863,7,2,0,1,4,74,1.2035001516342163,205,74,27
FALSE,4.800000190734863,7,1,0,1,1,75,1.053300142288208,206,75,27
FALSE,4.800000190734863,7,1,0,1,1,76,1.7369002103805542,207,76,27
FALSE,4.800000190734863,7,1,0,1,1,77,1.286099910736084,208,77,27
FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,78,2.652699708938598,244,78,27
FALSE,4.800000190734863,7,1,0,1,1,79,1.3206998109817505,245,79,27
FALSE,2.5999999046325684,7,8,0.5264999270439148,0,64,8,2.853398561477661,134,8,27
FALSE,4.800000190734863,7,2,0,1,4,80,1.152999758720398,249,80,27
FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,81,3.019798994064331,285,81,27
TRUE,2.5999999046325684,7,7,0.4160000085830688,0,-10,82,5.435998439788818,275,82,27
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,83,1.9872002601623533,284,83,27
FALSE,4.800000190734863,7,1,0,1,1,84,1.2375000715255735,285,84,27
FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,85,4.770198822021484,334,85,27
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,86,2.219300508499145,343,86,27
FALSE,4.800000190734863,7,1,0,1,1,87,0.8035999536514282,344,87,27
FALSE,4.800000190734863,7,1,0,1,1,88,1.169800043106079,345,88,27
FALSE,4.800000190734863,7,2,0,1,4,89,2.286200046539306,349,89,27
TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,9,3.337299108505249,124,9,27
FALSE,4.800000190734863,7,1,0,1,1,90,1.236799955368042,350,90,27
FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,91,2.6862988471984863,386,91,27
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,92,2.286799192428589,402,92,27
FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,93,2.319699526,451,93,27
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,94,2.203000783920288,467,94,27
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,95,2.386699676513672,492,95,27
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,96,4.495299339294434,501,96,27
FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,97,2.419300079345703,550,97,27
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,98,1.9685001373291016,566,98,27
FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,99,2.920600414276123,602,99,27
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,1,2.5199992656707764,9,121,27
FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,10,2.403799533843994,203,130,27
FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,11,2.469400167,239,131,27
TRUE,2.5999999046325684,7,6,0.3184999823570251,0,-10,12,3.969899892807007,229,132,27
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,13,1.585599660873413,238,133,27
FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,14,2.1702992916107178,287,134,27
