,attack,selfBlame,jointMoney,partnerStep,playerStep,prediction,split_rt,step_rt,trial,room,block,playerID,confidence,predatorType,finalStep,player_partner_diff,subID
0,FALSE,0.5,50,5,4,5,1.5497997999191284,2.2667994499206543,23,1,2,1,70,0,5,-1,1
0,FALSE,0.5,32,4,4,4,1.2506996393203735,0.8678000569343567,24,1,1,0,70,1,4,0,0
0,FALSE,0.5,32,4,4,4,1.1173999309539795,1.0664998292922974,24,1,1,1,70,1,4,0,1
0,FALSE,0.75,50,4,5,4,1.8680006265640257,1.3678001165390017,24,1,2,0,70,0,5,1,0
0,FALSE,0.5,50,5,4,5,1.6166995763778689,5.866796970367432,24,1,2,1,70,0,5,-1,1
0,FALSE,0.5,32,4,4,4,2.251999855041504,0.8337000012397766,25,1,1,0,70,1,4,0,0
0,FALSE,0.5,32,4,4,4,1.333400011062622,1.068100094795227,25,1,1,1,70,1,4,0,1
0,FALSE,0.75,50,5,5,4,2.035499334335327,1.1841000318527222,25,1,2,0,70,0,5,0,0
0,FALSE,0.5,50,5,5,5,1.533100128173828,1.6170004606246948,25,1,2,1,70,0,5,0,1
0,TRUE,0.5,-20,4,4,4,1.334299921989441,1.0006000995635986,26,1,1,0,70,1,4,0,0
0,TRUE,0.5,-20,4,4,4,1.3664005994796753,1.2497004270553589,26,1,1,1,70,1,4,0,1
0,FALSE,0.75,50,4,5,4,1.4511998891830444,1.334400296211243,26,1,2,0,70,0,5,1,0
0,FALSE,0.5,50,5,4,5,1.1670998334884644,1.8504998683929443,26,1,2,1,70,0,5,-1,1
0,FALSE,0.5,32,4,4,4,2.701899290084839,0.8679999709129333,27,1,1,0,70,1,4,0,0
0,FALSE,0.5,32,4,4,4,1.749799728393555,4.132799149,27,1,1,1,70,1,4,0,1
0,FALSE,0.5,32,3,5,4,3.251700162887573,1.3339999914169312,27,1,2,0,70,0,4,2,0
0,FALSE,-1,32,5,3,5,1.3503997325897217,4.749898433685303,27,1,2,1,70,0,4,-2,1
0,FALSE,0.5,32,4,4,4,1.8851999044418333,0.9339001774787904,28,1,1,0,70,1,4,0,0
0,FALSE,0.5,32,4,4,4,1.383800387382507,1.416800022125244,28,1,1,1,70,1,4,0,1
0,FALSE,0.5,50,5,5,3,2.918298721313477,1.1856998205184937,28,1,2,0,70,0,5,0,0
0,FALSE,0.5,50,5,5,5,2.0008997917175293,2.333400249481201,28,1,2,1,70,0,5,0,1
0,FALSE,0.5,32,4,4,4,1.184999704360962,0.9005000591278076,29,1,1,0,70,1,4,0,0
0,FALSE,0.5,32,4,4,4,0.6167999505996704,1.8671003580093384,29,1,1,1,70,1,4,0,1
0,FALSE,0.75,50,4,5,4,1.2010999917984009,1.367799997329712,29,1,2,0,70,0,5,1,0
0,FALSE,0.5,50,5,4,5,0.85010004,2.5341997146606445,29,1,2,1,70,0,5,-1,1
0,FALSE,0.5,32,4,4,4,2.202000141143799,0.850800097,30,1,1,0,70,1,4,0,0
0,FALSE,0.5,32,4,4,4,1.1830999851226809,1.1335997581481934,30,1,1,1,70,1,4,0,1
0,TRUE,0.75,-20,4,5,4,3.0857999324798584,1.3009999990463257,30,1,2,0,70,0,5,1,0
0,TRUE,0.25,-20,5,4,5,6.900497913360596,6.1344990730285645,30,1,2,1,70,0,5,-1,1
0,TRUE,0.5,-20,5,6,6,3.5328049659729004,1.893494963645935,1,2,1,0,80,0,6,1,2
0,TRUE,-1,-20,6,5,5,8,4.890900135040283,1,2,1,1,70,0,6,-1,3
0,FALSE,0.5,18,2,3,3,2.460897922515869,1.4221975803375244,1,2,2,0,80,1,3,1,2
0,FALSE,0.5,18,3,2,5,5.316004276275635,2.9750986099243164,1,2,2,1,70,1,3,-1,3
0,FALSE,0.5,72,6,5,5,3.737204790115357,1.997894287109375,2,2,1,0,80,0,6,-1,2
0,FALSE,0.75,72,5,6,5,3.824298620223999,4.541296482086182,2,2,1,1,70,0,6,1,3
0,FALSE,0.5,32,4,4,4,1.9560950994491573,2.7986984252929688,2,2,2,0,80,1,4,0,2
0,FALSE,0.5,32,4,4,3,1.5501998662948608,2.0836000442504883,2,2,2,1,70,1,4,0,3
0,FALSE,0.5,72,7,5,5,5.655794143676758,3.003201723098755,3,2,1,0,80,0,6,-2,2
0,FALSE,0.75,72,5,7,6,2.866098642349243,3.349698781967163,3,2,1,1,70,0,6,2,3
0,TRUE,0.75,-20,3,5,5,2.8321008682250977,2.135494947433472,3,2,2,0,80,1,4,2,2
0,TRUE,0.25,-20,5,3,6,4.399403095245361,2.2494001388549805,3,2,2,1,70,1,4,-2,3
0,FALSE,0.25,72,7,5,6,4.354505539,2.6526987552642822,4,2,1,0,80,0,6,-2,2
0,FALSE,0.75,72,5,7,7,6.7401041984558105,3.041200399398804,4,2,1,1,70,0,6,2,3
0,FALSE,0.5,18,3,3,3,2.4691975116729736,1.3138983249664309,4,2,2,0,80,1,3,0,2
0,FALSE,0.5,18,3,3,5,1.5416995286941528,3.265897989273072,4,2,2,1,70,1,3,0,3
0,FALSE,0.5,98,7,6,7,2.294096708297729,5.092697620391846,5,2,1,0,80,0,7,-1,2
0,FALSE,1,98,6,7,5,4.033097743988037,3.124300718307495,5,2,1,1,70,0,7,1,3
0,TRUE,0.5,-20,4,3,3,3.0114011764526367,1.3012982606887815,5,2,2,0,80,1,4,-1,2
0,TRUE,1,-20,3,4,5,1.1673001050949097,2.983398438,5,2,2,1,70,1,4,1,3
0,FALSE,0.25,98,9,5,8,5.417990207672119,2.3815979957580566,6,2,1,0,80,0,7,-4,2
0,FALSE,1,98,5,9,5,3.540799617767334,7.091200351715088,6,2,1,1,70,0,7,4,3
0,FALSE,0.5,18,3,3,3,1.0677999258041382,1.493196964263916,6,2,2,0,80,1,3,0,2
0,FALSE,0.5,18,3,3,3,1.2330005168914795,3.083000421524048,6,2,2,1,70,1,3,0,3
0,FALSE,0.25,128,9,6,8,4.6129984855651855,2.3899970054626465,7,2,1,0,80,0,8,-3,2
0,FALSE,1,128,6,9,5,4.592298984527588,3.766800404,7,2,1,1,70,0,8,3,3
0,FALSE,0.5,18,3,3,4,1.9018949270248413,1.5848970413208008,7,2,2,0,80,1,3,0,2
0,FALSE,0.5,18,3,3,3,2.607898712158203,1.5667003393173218,7,2,2,1,70,1,3,0,3
0,FALSE,0.5,162,9,9,9,1.7392959594726562,3.3451058864593506,8,2,1,0,80,0,9,0,2
0,FALSE,0.5,162,9,9,5,1.6248997449874878,4.274497985839844,8,2,1,1,70,0,9,0,3
0,TRUE,0.5,-20,3,3,3,1.443197489,1.4555976390838623,8,2,2,0,80,1,3,0,2
0,TRUE,0.5,-20,3,3,3,1.166199803352356,1.5583994388580322,8,2,2,1,70,1,3,0,3
0,FALSE,0.5,162,9,9,9,2.160495519638061,2.782001495361328,9,2,1,0,80,0,9,0,2
0,FALSE,0.5,162,9,9,7,1.7827001810073853,5.258299350738525,9,2,1,1,70,0,9,0,3
0,FALSE,0.5,18,3,3,3,1.7351957559585571,1.9270951747894287,9,2,2,0,80,1,3,0,2
0,FALSE,0.5,18,3,3,3,1.616000413894653,1.975399374961853,9,2,2,1,70,1,3,0,3
0,FALSE,0.5,162,9,9,9,1.7434958219528198,3.428507328033448,10,2,1,0,80,0,9,0,2
0,FALSE,0.5,162,9,9,9,2.015899896621704,3.691197156906128,10,2,1,1,70,0,9,0,3
0,FALSE,0.5,18,3,3,3,2.565199613571167,1.622496247291565,10,2,2,0,80,1,3,0,2
0,FALSE,0.5,18,3,3,3,1.175299882888794,2.091299533843994,10,2,2,1,70,1,3,0,3
0,TRUE,0.5,-20,9,9,9,5.981182575,3.069802761077881,11,2,1,0,80,0,9,0,2
0,TRUE,0.5,-20,9,9,9,1.7326993942260742,4.607698917388916,11,2,1,1,70,0,9,0,3
0,FALSE,0.75,32,3,4,3,2.5025973320007324,2.010394573,11,2,2,0,80,1,4,1,2
0,FALSE,0,32,4,3,3,2.8251001834869385,1.4998997449874878,11,2,2,1,70,1,4,-1,3
0,TRUE,1,-20,4,8,8,3.153303861618042,3.069601535797119,12,2,1,0,80,0,6,4,2
0,TRUE,0.25,-20,8,4,7,2.982299805,3.1242997646331787,12,2,1,1,70,0,6,-4,3
0,FALSE,0.5,18,3,3,4,1.151199221611023,1.4763973951339722,12,2,2,0,80,1,3,0,2
0,FALSE,0.5,18,3,3,4,0.9993999004364014,1.4662996530532837,12,2,2,1,70,1,3,0,3
0,FALSE,0.5,72,7,5,5,2.903200865,1.9978944063186648,13,2,1,0,80,0,6,-2,2
0,FALSE,0.75,72,5,7,5,2.990999460220337,2.8910000324249268,13,2,1,1,70,0,6,2,3
0,TRUE,0.5,-20,3,3,3,1.8101954460144043,1.6683965921401978,13,2,2,0,80,1,3,0,2
0,TRUE,0.5,-20,3,3,3,1.2500001192092896,1.541600227355957,13,2,2,1,70,1,3,0,3
0,FALSE,0.25,98,7,6,7,1.2846983671188354,2.006194591522217,14,2,1,0,80,0,7,-1,2
0,FALSE,0.75,98,6,7,5,2.791499853134156,3.149099349975586,14,2,1,1,70,0,7,1,3
0,FALSE,0.5,18,3,3,3,0.9633998870849608,1.4763972759246826,14,2,2,0,80,1,3,0,2
0,FALSE,0.5,18,3,3,3,1.0674998760223389,1.0499999523162842,14,2,2,1,70,1,3,0,3
0,FALSE,0.5,128,9,7,8,1.7518961429595947,2.1063947677612305,15,2,1,0,80,0,8,-2,2
0,FALSE,0.75,128,7,9,5,2.724000930786133,4.415899753570557,15,2,1,1,70,0,8,2,3
0,FALSE,0.5,18,3,3,3,1.1553993225097656,1.3971978425979614,15,2,2,0,80,1,3,0,2
0,FALSE,0.5,18,3,3,3,1.1339998245239258,1.7253998517990112,15,2,2,1,70,1,3,0,3
0,FALSE,0.5,162,9,9,9,1.7768954038619995,3.9539077281951904,16,2,1,0,80,0,9,0,2
0,FALSE,0.5,162,9,9,7,1.2746994495391846,3.857798337936402,16,2,1,1,70,0,9,0,3
0,FALSE,0.5,32,4,3,3,1.309798240661621,2.089695692062378,16,2,2,0,80,1,4,-1,2
0,FALSE,1,32,3,4,3,1.1247000694274902,2.507899284362793,16,2,2,1,70,1,4,1,3
0,TRUE,0.5,-20,9,9,9,3.412004232406616,2.644498825073242,17,2,1,0,80,0,9,0,2
0,TRUE,0.5,-20,9,9,9,0.8997998833656311,4.324300289154053,17,2,1,1,70,0,9,0,3
0,FALSE,0.25,32,4,3,3,1.0218995809555054,1.1344996690750122,17,2,2,0,80,1,4,-1,2
0,FALSE,1,32,3,4,3,2.524098873138428,2.433399438858032,17,2,2,1,70,1,4,1,3
0,FALSE,0.5,128,8,7,5,2.1896955966949463,1.8309956789016724,18,2,1,0,80,0,8,-1,2
0,FALSE,0.5,128,7,8,5,1.89989984,4.465800285339356,18,2,1,1,70,0,8,1,3
0,FALSE,0.5,18,3,3,4,1.2053987979888916,1.3261981010437012,18,2,2,0,80,1,3,0,2
0,FALSE,0.5,18,3,3,3,1.9750999212265008,3.024399280548096,18,2,2,1,70,1,3,0,3
0,FALSE,0.5,162,9,9,9,2.9571006298065186,2.677798033,19,2,1,0,80,0,9,0,2
0,FALSE,0.5,162,9,9,8,3.715800046920776,3.066200256347656,19,2,1,1,70,0,9,0,3
0,FALSE,0.5,32,4,3,3,2.3232970237731934,1.872594952583313,19,2,2,0,80,1,4,-1,2
0,FALSE,1,32,3,4,3,3.1486995220184326,2.1501994132995605,19,2,2,1,70,1,4,1,3
0,FALSE,0.5,162,9,9,9,1.2095991373062134,3.157403945922852,20,2,1,0,80,0,9,0,2
0,FALSE,0.5,162,9,9,9,1.375199794769287,4.341300010681152,20,2,1,1,70,0,9,0,3
0,FALSE,0.5,32,3,4,4,1.8228955268859863,1.1886988878250122,20,2,2,0,80,1,4,1,2
0,FALSE,0.25,32,4,3,3,3.332998752593994,3.516601085662842,20,2,2,1,70,1,4,-1,3
0,TRUE,0.5,-20,9,9,9,2.093794584274292,2.665199279785156,21,2,1,0,80,0,9,0,2
0,TRUE,0.5,-20,9,9,9,2.366399049758911,5.258200645446777,21,2,1,1,70,0,9,0,3
0,FALSE,0.5,18,3,3,5,1.751895785331726,1.176299214363098,21,2,2,0,80,1,3,0,2
0,FALSE,0.5,18,3,3,3,1.7833999395370483,4.066600322723389,21,2,2,1,70,1,3,0,3
0,FALSE,0.25,128,9,7,7,0.6048002243041992,1.9352948665618896,22,2,1,0,80,0,8,-2,2
0,FALSE,1,128,7,9,9,2.0739991664886475,2.482800245285034,22,2,1,1,70,0,8,2,3
0,FALSE,0.5,32,4,4,4,1.0177000761032104,1.3178983926773071,22,2,2,0,80,1,4,0,2
0,FALSE,0.5,32,4,4,3,0.7996000051498413,2.0246999263763428,22,2,2,1,70,1,4,0,3
0,TRUE,0.75,-20,9,9,-1,2.4774978160858154,2.6694986820220947,23,2,1,0,80,0,9,0,2
0,TRUE,0.5,-20,9,9,9,1.6418999433517456,3.016400098800659,23,2,1,1,70,0,9,0,3
0,FALSE,0.5,32,3,4,5,1.088699460029602,1.1051995754241943,23,2,2,0,80,1,4,1,2
0,FALSE,0.25,32,4,3,4,4.840501785,2.2251996994018555,23,2,2,1,70,1,4,-1,3
0,TRUE,0.5,-20,9,9,6,2.852800130844116,2.394097089767456,24,2,1,0,80,0,9,0,2
0,TRUE,0.5,-20,9,9,7,1.299799919128418,2.4415998458862305,24,2,1,1,70,0,9,0,3
0,FALSE,0.5,32,4,3,4,0.9719998836517334,0.946800172,24,2,2,0,80,1,4,-1,2
0,FALSE,0.5,32,3,4,4,1.6078993082046509,1.7417999505996704,24,2,2,1,70,1,4,1,3
0,TRUE,0.75,-20,4,7,5,2.469197988510132,2.694398880004883,25,2,1,0,80,0,6,3,2
0,TRUE,0.5,-20,7,4,9,4.065897941589356,2.2158992290496826,25,2,1,1,70,0,6,-3,3
0,FALSE,0.5,50,5,4,5,1.376597881317139,1.0261000394821167,25,2,2,0,80,1,5,-1,2
0,FALSE,0.75,50,4,5,4,2.407899141311645,2.8921995162963867,25,2,2,1,70,1,5,1,3
0,FALSE,0,98,9,4,3,2.6277995109558105,2.1021950244903564,26,2,1,0,80,0,7,-5,2
0,FALSE,1,98,4,9,6,4.540698051452637,3.083099603652954,26,2,1,1,70,0,7,5,3
0,FALSE,0.5,32,5,3,4,1.1637989282608032,1.217898726463318,26,2,2,0,80,1,4,-2,2
0,FALSE,0.75,32,3,5,4,2.532799721,2.1990997791290283,26,2,2,1,70,1,4,2,3
0,TRUE,0.5,-20,9,8,9,1.4806976318359375,2.139695882797241,27,2,1,0,80,0,9,-1,2
0,TRUE,0.5,-20,8,9,7,2.140999794006348,2.632601022720337,27,2,1,1,70,0,9,1,3
0,FALSE,0.25,72,6,5,5,1.084399700164795,2.8696000576019287,27,2,2,0,80,1,6,-1,2
0,FALSE,0.75,72,5,6,4,0.8835999369621277,2.6085000038146973,27,2,2,1,70,1,6,1,3
0,TRUE,0.5,-20,9,6,6,1.5390970706939695,1.7351959943771362,28,2,1,0,80,0,8,-3,2
