,attack,attackProb,attackRange,choice,currProb,predatorType,reward,round,rt,totMoney,trial,subID
0,FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,73,2.370100498199463,1260,73,75
0,FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,74,1.7533009052276611,1285,74,75
0,TRUE,4.800000190734863,7,7,0.768000066,1,-10,75,1.7868008613586426,1275,75,75
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,76,1.6027007102966309,1265,76,75
0,TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,77,1.269800305366516,1255,77,75
0,TRUE,4.800000190734863,7,8,0.9719999432563782,1,-10,78,1.886901378631592,1245,78,75
0,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,79,1.2363004684448242,1261,79,75
0,FALSE,4.800000190734863,7,7,0.768000066,1,49,8,1.8036000728607176,165,8,75
0,FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,80,1.1028002500534058,1286,80,75
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,81,1.820200800895691,1335,81,75
0,FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,82,1.4694007635116575,1371,82,75
0,FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,83,1.3700004816055298,1396,83,75
0,TRUE,4.800000190734863,7,9,1.2000000476837158,1,-10,84,1.8866013288497925,1386,84,75
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,85,1.3867006301879885,1376,85,75
0,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,86,1.203400731086731,1392,86,75
0,FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,87,2.3039004802703857,1417,87,75
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,88,2.553500175476074,1466,88,75
0,TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,89,1.4861007928848269,1456,89,75
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,9,2.3567006587982178,201,9,75
0,FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,90,1.552900791168213,1481,90,75
0,TRUE,4.800000190734863,7,7,0.768000066,1,-10,91,1.803501009941101,1471,91,75
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,92,1.5202008485794067,1507,92,75
0,TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,93,1.6865007877349854,1497,93,75
0,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,94,1.0875004529953003,1513,94,75
0,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,95,2.7038004398345947,1503,95,75
0,FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,96,1.086500049,1528,96,75
0,TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,97,1.470200538635254,1518,97,75
0,FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,98,1.3228999376296997,1527,98,75
0,FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,99,1.6366002559661863,1563,99,75
0,FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,1,14.222000122070312,25,1,38
0,TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,10,2.299400568008423,118,10,38
