attack,selfBlame,jointMoney,partnerStep,playerStep,prediction,share,split_rt,step_rt,trial,room,block,playerID,predatorType,player_partner_diff,finalStep,subID
FALSE,0.5,18,3,3,5,0,4.260900020599365,2.963700056,16,2,1,1,0,0,3,46
FALSE,0.5,18,3,3,3,0,1.983299732208252,2.932898759841919,16,2,1,0,0,0,3,13
FALSE,0.5,18,3,3,5,0,4.322499752044678,2.959700107574463,17,2,1,1,0,0,3,46
FALSE,0.5,18,3,3,2,0,2.5664002895355225,4.683401107788086,17,2,1,0,0,0,3,13
FALSE,0.25,32,4,3,5,0,3.760799646377564,3.360600233078003,18,2,1,1,0,-1,4,46
FALSE,0.75,32,3,4,3,0,4.033199310302734,2.434098720550537,18,2,1,0,0,1,4,13
FALSE,0.25,32,5,3,5,0,4.133599758148193,3.269400119781494,19,2,1,1,0,-2,4,46
FALSE,0.5,32,3,5,4,0,2.883399248123169,8,19,2,1,0,0,2,4,13
FALSE,0.25,50,7,3,5,0,6.901599884033203,2.9718997478485107,20,2,1,1,0,-4,5,46
FALSE,0.5,50,3,7,4,0,8,8,20,2,1,0,0,4,5,13
FALSE,0.25,32,4,3,5,0,7.760799407958984,4.482899666,21,2,1,1,0,-1,4,46
FALSE,0.5,32,3,4,-1,0,2.916399002075196,6.500396728515625,21,2,1,0,0,1,4,13
FALSE,0.25,32,4,3,5,0,7.769702434539795,3.603800058364868,22,2,1,1,0,-1,4,46
FALSE,0.5,32,3,4,4,0,2.8005003929138184,5.883397102355957,22,2,1,0,0,1,4,13
FALSE,0.25,72,8,3,5,0,2.663100004196167,3.1984002590179443,23,2,1,1,0,-5,6,46
FALSE,0.75,72,3,8,4,0,4.766700267791748,8,23,2,1,0,0,5,6,13
FALSE,0.5,32,5,3,5,0,8,6.508399486541748,24,2,1,1,0,-2,4,46
FALSE,0,32,3,5,7,0,6.316696643829346,3.816799164,24,2,1,0,0,2,4,13
TRUE,0.25,32,4,3,5,0,3.870999813079834,3.611600160598755,25,2,1,1,0,-1,4,46
TRUE,0.5,32,3,4,7,0,8,3.799600839614868,25,2,1,0,0,1,4,13
FALSE,0.25,32,4,3,5,0,4.731800079345703,3.59779954,26,2,1,1,0,-1,4,46
FALSE,0.5,32,3,4,3,0,5.783298015594482,6.149999618530273,26,2,1,0,0,1,4,13
TRUE,0.25,32,4,3,5,0,3.141699791,2.953499794006348,27,2,1,1,0,-1,4,46
TRUE,0.75,32,3,4,5,0,2.499699354171753,2.967299461364746,27,2,1,0,0,1,4,13
TRUE,0.5,18,3,3,5,0,7.977701187133789,2.865300178527832,28,2,1,1,0,0,3,46
TRUE,0.5,18,3,3,4,0,3.283299207687378,3.333099365234375,28,2,1,0,0,0,3,13
FALSE,0.5,32,4,3,-1,0,5.796400547027588,3.602999687194824,29,2,1,1,0,-1,4,46
FALSE,0.5,32,3,4,4,0,2.699899435043335,4.066799163818359,29,2,1,0,0,1,4,13
FALSE,0.5,18,3,3,5,0,5.663500785827637,3.603600502,30,2,1,1,0,0,3,46
FALSE,0.5,18,3,3,3,0,2.149799346923828,6.416596889,30,2,1,0,0,0,3,13
FALSE,0.75,32,5,3,5,0,4.850299835205078,3.430800199508667,1,2,2,1,1,-2,4,46
FALSE,0.5,32,3,5,5,0,4.516799449920654,3.233600616455078,1,2,2,0,1,2,4,13
FALSE,0.75,18,2,3,5,0,3.997699737548828,3.510699510574341,2,2,2,1,1,1,3,46
FALSE,0.5,18,3,2,5,0,2.266899585723877,8,2,2,2,0,1,-1,3,13
TRUE,0.25,32,4,3,5,0,3.8534998893737793,5.762799263000488,3,2,2,1,1,-1,4,46
TRUE,0.5,32,3,4,4,0,1.549999713897705,3.6503984928131104,3,2,2,0,1,1,4,13
FALSE,0.25,50,6,3,5,0,5.214200019836426,3.187800168991089,4,2,2,1,1,-3,5,46
